KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,COUNT_AREA,CURRENCY_TRANS,TIME_PER_COLLECT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMMENT_TS,COMPILING_ORG,COVERAGE,DATA_COMP,DECIMALS,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2024-11,-428622.81,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2024-12,-415923.79,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-01,-402182.19,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-02,-403735.96,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-03,-408512.62,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-04,-371121.18,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-05,-382372.71,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-06,-394181.15,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-07,-366750.67,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-08,-385702.69,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-09,-382706.88,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-10,-347692.8,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-11,-378831.96,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2025-12,-358362.07,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-01,-349367.24,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-02,-368099.39,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-03,-356661.96,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-04,-348792.05,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-05,-358561.54,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-06,-335639.17,E,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
TGB.M.IT.N.A094T.U2.EUR.E,M,IT,N,A094T,U2,EUR,E,2026-07,-331168.67,P,F,,,P1M,,E,Monthly TARGET balances for Italy,,,,2,,,,,TARGET balances (end of month position),,EUR,6
